Names,Location,Age,Salary,DoB,Blood types,Purchased
Joseph Mutoni,Kigali,31.0,481328.0,1995-07-13,O-,Y
Grace Mutoni,Rwamagana,58.0,894969.0,1968-10-07,B-,No
Sandrine Dusenge,Karongi,26.0,582713.0,2000-01-07,A-,No
Patrick Munyaneza,Musanze,27.0,607015.0,1999-01-09,B+,No
Nadine Dusenge,kigali,18.0,575816.0,2008-03-10,B+,No
Jean Nshimiyimana,Karongi,29.0,504319.0,1997-08-12,A-,No
Claudine Niyomugabo,Kayonza,54.0,297613.0,1972-09-05,A-,Yes
Thierry Mugabo,Rwamagana,56.0,869650.0,1970-06-08,B-,Yes
Emmanuel Nkurunziza,Rusizi,37.0,621404.0,1989-08-18,O-,Yes
Claudine Gahigi,Kayonza,59.0,710260.0,1967-10-30,AB-,Yes
Grace Bizimana,Kayonza,50.0,753086.0,not_a_date,A-,Yes
Samuel Nkurunziza,MUSANZE,21.0,328302.0,2005-07-11,B-,Yes
  Nadine Dusenge ,Musanze,51.0,802901.0,1975-06-23,AB+,Yes
Nadine Mugabo,,26.0,486665.0,2000-11-17,O-,Yes
Nadine Hakizimana,Musanze,50.0,929827.0,1976-06-07,A+,Yes
Bella Niyomugabo,Rwamagana,59.0,838283.0,1967-05-20,B-,No
Sandrine Rukundo,Karongi,37.0,99999999.0,1989-10-19,A+,No
Yvette Rukundo,Rusizi,37.0,625531.0,1989-12-28,A+,No
Joseph Niyomugabo,Nyagatare,23.0,778872.0,2003-01-16,B+,No
Samuel Mugabo,Kayonza,56.0,413126.0,1970-03-18,A+,Yes
Joseph Uwimana,Kayonza,46.0,1123210.0,1980-10-02,A+,No
Yvette Uwimana,Rusizi,25.0,738837.0,2001-02-01,AB+,Yes
Olivier Bizimana,Rusizi,19.0,150000.0,2007-10-12,B-,1
Chantal Iradukunda,Rusizi,36.0,711530.0,,AB-,No
Yvette Mukamana,Musanze,,731518.0,2001-11-20,O-,No
Brian Habimana,Karongi,60.0,664004.0,1966-10-18,O+,Yes
Nadine Mukamana,Huye,50.0,244773.0,1976-02-21,O+,Yes
Samuel Uwimana,Huye,58.0,923024.0,1968-04-09,A+,No
Emmanuel Rugema,Rubavu,50.0,670956.0,1976-04-24,B-,No
Patrick Mugabo,Huye,15.0,520419.0,1980-01-06,B+,No
Sarah Gahigi,Karongi,56.0,672451.0,1970-09-23,AB+,No
Samuel Dusenge,Musanze,38.0,781153.0,1988-05-13,B+,No
Esther Niyomugabo,Karongi,33.0,948202.0,1993-02-10,,No
Joseph Nshimiyimana,Musanze,48.0,787504.0,1978-08-31,AB-,No
Eric Rukundo,Kigali,52.0,561977.0,1974-01-01,AB+,No
Sandrine Gahigi,Nyagatare,24.0,502834.0,2002-08-23,B-,Yes
Alice Nshimiyimana,Nyagatare,41.0,1030014.0,1985-07-26,B+,No
Brian Bizimana,Musanze,52.0,723355.0,1974-05-03,B-,No
Emmanuel Habimana,Kigali,54.0,844329.0,1972-11-26,A-,No
